Date,Hours,Price (EUR/MWh),Traded volumes (MWh)
2012.01.01.,H1,"23,05","481,50"
2012.01.01.,H2,"15,04","552,50"
2012.01.01.,H3,"3,46","624,50"
2012.01.01.,H4,"0,11","667,70"
2012.01.01.,H5,"0,11","666,80"
2012.01.01.,H6,"0,11","698,00"
2012.01.01.,H7,"0,10","633,90"
2012.01.01.,H8,"0,07","624,90"
2012.01.01.,H9,"1,52","636,60"
2012.01.01.,H10,"7,05","820,40"
2012.01.01.,H11,"17,11","753,60"
2012.01.01.,H12,"21,81","652,60"
2012.01.01.,H13,"22,01","654,90"
2012.01.01.,H14,"20,01","594,10"
2012.01.01.,H15,"19,04","632,80"
2012.01.01.,H16,"16,05","676,00"
2012.01.01.,H17,"23,95","559,20"
2012.01.01.,H18,"44,25","597,20"
2012.01.01.,H19,"47,75","597,80"
2012.01.01.,H20,"62,61","578,30"
2012.01.01.,H21,"40,18","577,30"
2012.01.01.,H22,"28,62","590,10"
2012.01.01.,H23,"25,01","564,80"
2012.01.01.,H24,"15,76","595,60"
2012.01.02.,H1,"10,01","1 038,90"
2012.01.02.,H2,"2,08","1 072,00"
2012.01.02.,H3,"1,01","996,90"
2012.01.02.,H4,"0,31","1 000,60"
2012.01.02.,H5,"3,05","966,40"
2012.01.02.,H6,"15,87","702,10"
2012.01.02.,H7,"31,45","758,50"
2012.01.02.,H8,"43,99","625,90"
2012.01.02.,H9,"45,80","821,70"
2012.01.02.,H10,"47,99","745,90"
2012.01.02.,H11,"47,07","782,40"
2012.01.02.,H12,"49,00","750,00"
2012.01.02.,H13,"49,62","721,00"
2012.01.02.,H14,"45,00","708,10"
2012.01.02.,H15,"43,62","741,40"
2012.01.02.,H16,"44,35","664,80"
2012.01.02.,H17,"50,05","677,50"
2012.01.02.,H18,"58,06","600,70"
2012.01.02.,H19,"55,27","646,00"
2012.01.02.,H20,"49,46","617,60"
2012.01.02.,H21,"53,00","633,60"
2012.01.02.,H22,"40,01","730,20"
2012.01.02.,H23,"43,75","628,10"
2012.01.02.,H24,"35,84","592,90"
2012.01.03.,H1,"36,57","774,30"
2012.01.03.,H2,"22,89","870,90"
2012.01.03.,H3,"17,06","781,90"
2012.01.03.,H4,"16,65","742,30"
2012.01.03.,H5,"18,40","772,40"
2012.01.03.,H6,"49,99","633,70"
2012.01.03.,H7,"55,00","678,80"
2012.01.03.,H8,"57,51","621,00"
2012.01.03.,H9,"48,35","633,40"
2012.01.03.,H10,"55,00","595,40"
2012.01.03.,H11,"57,50","582,90"
2012.01.03.,H12,"57,50","586,00"
2012.01.03.,H13,"57,51","623,70"
2012.01.03.,H14,"57,50","603,10"
2012.01.03.,H15,"42,01","577,00"
2012.01.03.,H16,"60,34","565,10"
2012.01.03.,H17,"116,04","557,20"
2012.01.03.,H18,"100,01","597,20"
2012.01.03.,H19,"69,54","607,90"
2012.01.03.,H20,"100,00","579,20"
2012.01.03.,H21,"120,11","671,90"
2012.01.03.,H22,"60,00","662,80"
2012.01.03.,H23,"100,01","648,00"
2012.01.03.,H24,"45,01","710,50"
2012.01.04.,H1,"14,01","745,70"
2012.01.04.,H2,"7,81","982,10"
2012.01.04.,H3,"5,05","820,60"
2012.01.04.,H4,"7,37","826,70"
2012.01.04.,H5,"9,01","824,50"
2012.01.04.,H6,"21,01","623,50"
2012.01.04.,H7,"39,54","578,30"
2012.01.04.,H8,"53,00","513,90"
2012.01.04.,H9,"120,11","883,50"
2012.01.04.,H10,"100,01","846,00"
2012.01.04.,H11,"53,01","675,20"
2012.01.04.,H12,"57,50","658,60"
2012.01.04.,H13,"57,51","688,60"
2012.01.04.,H14,"57,50","666,30"
2012.01.04.,H15,"52,01","630,10"
2012.01.04.,H16,"52,01","695,50"
2012.01.04.,H17,"51,87","720,40"
2012.01.04.,H18,"53,17","678,20"
2012.01.04.,H19,"54,01","632,50"
2012.01.04.,H20,"49,33","624,10"
2012.01.04.,H21,"45,86","606,30"
2012.01.04.,H22,"37,25","584,40"
2012.01.04.,H23,"38,50","592,80"
2012.01.04.,H24,"30,76","595,00"
2012.01.05.,H1,"15,00","767,70"
2012.01.05.,H2,"2,96","750,10"
2012.01.05.,H3,"1,01","732,60"
2012.01.05.,H4,"0,94","751,00"
2012.01.05.,H5,"1,01","706,60"
2012.01.05.,H6,"15,01","641,10"
2012.01.05.,H7,"27,04","649,30"
2012.01.05.,H8,"55,01","566,70"
2012.01.05.,H9,"44,67","539,00"
2012.01.05.,H10,"45,98","542,10"
2012.01.05.,H11,"56,12","581,40"
2012.01.05.,H12,"57,11","559,10"
2012.01.05.,H13,"57,50","571,70"
2012.01.05.,H14,"57,50","586,50"
2012.01.05.,H15,"57,11","593,40"
2012.01.05.,H16,"56,12","631,20"
2012.01.05.,H17,"63,60","600,80"
2012.01.05.,H18,"76,70","555,20"
2012.01.05.,H19,"57,51","513,90"
2012.01.05.,H20,"60,09","556,80"
2012.01.05.,H21,"57,50","569,00"
2012.01.05.,H22,"57,50","649,00"
2012.01.05.,H23,"100,00","618,20"
2012.01.05.,H24,"45,01","683,70"
2012.01.06.,H1,"10,28","682,30"
2012.01.06.,H2,"1,01","802,10"
2012.01.06.,H3,"0,01","741,20"
2012.01.06.,H4,"0,01","761,70"
2012.01.06.,H5,"0,29","782,30"
2012.01.06.,H6,"15,00","705,90"
2012.01.06.,H7,"32,14","748,50"
2012.01.06.,H8,"41,00","687,90"
